WTGID,Loc,MonthStartDate,f1,f2,f3,f4,f5,f6,target,Dataset
340,0,1/1/2024 0:00,0,490.491896,10.10258104,48.36287751,52.2695367,42.16695566,0,val
340,0,2/1/2024 0:00,0,406.578414,10.19997797,48.50537494,52.40033627,42.2003583,0,val
341,0,11/1/2023 0:00,-2,465.032307,10.0565007,57.52207661,62.42887972,52.37237902,2,val
342,0,4/1/2023 0:00,6,403.192377,12.31949909,49.6559516,52.35425227,40.03475318,0,model
342,0,9/1/2023 0:00,16,418.843285,23.33258,59.63095381,62.62841143,39.29583143,0,val
342,0,11/1/2023 0:00,-2,418.986833,10.03690167,48.61925093,51.78257,41.74566833,0,val
342,0,1/1/2024 0:00,-1,467.71631,10.19519251,48.88531491,52.11688235,41.92168984,0,val
342,0,2/1/2024 0:00,0,395.7789,10.60271156,50.47737636,53.7363569,43.13364534,0,val
343,0,4/1/2023 0:00,6,278.037479,11.83689525,49.71380487,52.54914403,40.71224877,0,model
343,0,11/1/2023 0:00,-2,475.083752,10.02746566,48.39257882,51.80742379,41.77995812,0,val
343,0,1/1/2024 0:00,0,457.533709,10.22869298,49.01624909,52.6160401,42.38734712,0,val
343,0,2/1/2024 0:00,0,427.781481,10.38783951,48.73821982,52.21056481,41.82272531,0,val
344,0,4/1/2023 0:00,7,418.49726,11.53944618,49.14836377,51.83175147,40.29230528,0,model
344,0,9/1/2023 0:00,17,467.458306,21.73475081,57.54376819,59.86063029,38.12587948,0,val
344,0,11/1/2023 0:00,-2,482.890737,10.04620605,47.39368788,49.60245936,39.55625331,0,val
344,0,1/1/2024 0:00,0,399.907732,10.0457065,48.55895411,50.94532513,40.89961863,0,val
344,0,2/1/2024 0:00,0,416.926037,10.31923396,48.56404822,50.91803396,40.5988,0,val
345,0,1/1/2023 0:00,0,394.034093,10.57875679,48.26650223,50.42128882,39.84253203,0,model
345,0,2/1/2023 0:00,0,361.799421,10.61645007,49.89690063,52.13862808,41.522178,0,model
345,0,4/1/2023 0:00,6,393.33362,12.55815345,52.88454061,55.17123793,42.61308448,0,model
345,0,9/1/2023 0:00,17,458.143822,23.49473641,61.7790194,64.11061944,40.61588303,0,val
345,0,11/1/2023 0:00,-2,473.893233,10.04325439,52.63099387,54.92028697,44.87703258,0,val
345,0,1/1/2024 0:00,0,469.915581,10.48938697,52.50612062,54.7776092,44.28822222,0,val
345,0,2/1/2024 0:00,0,392.192056,10.88266939,53.08579881,55.45512383,44.57245444,0,val
346,0,12/1/2022 0:00,3,124.497844,11.95179741,49.73873068,53.93531753,41.98352011,0,model
346,0,1/1/2023 0:00,5,276.473928,12.15942782,50.68591689,54.6928399,42.53341207,0,model
346,0,2/1/2023 0:00,5,581.056447,14.2051764,58.97923898,62.80871776,48.60354136,0,model
346,0,3/1/2023 0:00,4,657.226494,12.62662228,54.99685281,58.39623098,45.7696087,0,model
346,0,1/1/2024 0:00,6,445.572719,15.1558703,58.84953687,61.54003309,46.38416279,0,val
346,0,2/1/2024 0:00,2,501.452404,14.71542047,57.51652528,60.26165598,45.54623551,0,val
347,0,3/1/2023 0:00,3,667.623633,11.75323043,54.36194896,58.77625849,47.02302806,0,model
347,0,1/1/2024 0:00,6,459.952806,12.20791532,58.59102537,63.79764605,51.58973073,2,val
347,0,2/1/2024 0:00,3,508.958278,11.48865033,58.12177557,63.54981854,52.06116821,2,val
348,0,12/1/2022 0:00,4,55.429574,14.00178189,49.39096919,51.56333087,37.56154898,0,model
348,0,1/1/2023 0:00,6,350.454379,21.54595025,46.32775348,48.39667344,26.8507232,0,model
348,0,2/1/2023 0:00,6,565.642117,16.75376755,49.26808209,51.35802877,34.60426122,0,model
348,0,3/1/2023 0:00,4,646.119678,14.19023561,46.46452372,48.50000134,34.30976573,0,model
348,0,1/1/2024 0:00,7,448.355715,11.98305131,48.19491099,50.05131773,38.06826643,0,val
348,0,2/1/2024 0:00,3,503.581927,11.01674096,47.59332544,49.46230843,38.44556747,0,val
349,0,12/1/2022 0:00,1,44.024531,10.73921723,51.37121015,54.95135206,44.21213483,0,model
349,0,1/1/2023 0:00,6,330.290844,11.83396922,52.61251986,55.99382084,44.15985162,0,model
349,0,2/1/2023 0:00,5,580.117228,12.57116386,53.58810964,56.91738916,44.3462253,0,model
349,0,3/1/2023 0:00,4,656.36476,11.50365027,51.12681117,54.20641356,42.7027633,0,model
349,0,11/1/2023 0:00,4,611.815976,11.04624063,50.28959215,53.24233136,42.19609073,0,val
349,0,1/1/2024 0:00,5,457.252208,11.017249,50.73406783,53.64666399,42.62941499,0,val
349,0,2/1/2024 0:00,3,482.324557,11.46841204,50.89816188,53.84874144,42.3803294,0,val
350,0,12/1/2022 0:00,3,41.2801,11.32070903,56.96369008,60.18036622,48.85965719,2,model
350,0,1/1/2023 0:00,2,243.965751,11.36835442,59.13584871,63.32617422,51.95781981,2,model
350,0,2/1/2023 0:00,5,595.166515,13.02289091,54.71620892,58.22881212,45.20592121,0,model
350,0,3/1/2023 0:00,3,689.494129,11.83312329,53.79727223,56.94211155,45.10898826,0,model
350,0,11/1/2023 0:00,4,548.544339,11.33226038,54.31477275,57.30610943,45.97384906,0,val
350,0,1/1/2024 0:00,6,465.343818,11.02055636,55.64140616,58.67493727,47.65438091,0,val
350,0,2/1/2024 0:00,3,510.344309,10.7351937,55.64952354,58.77294915,48.03775545,0,val
351,0,3/1/2023 0:00,2,673.822046,11.08761671,55.26850368,58.62498559,47.53736888,0,model
351,0,11/1/2023 0:00,3,570.705518,11.18241973,51.23846395,53.90510368,42.72268395,0,val
351,0,1/1/2024 0:00,5,453.906039,10.8814038,51.38239824,53.91329422,43.03189042,0,val
351,0,2/1/2024 0:00,2,525.126462,10.68314761,51.56962988,54.16434176,43.48119415,0,val
352,0,12/1/2022 0:00,3,63.013171,11.78518926,53.00827707,57.77086957,45.98568031,0,model
352,0,1/1/2023 0:00,6,346.498402,12.08926006,52.4525349,56.81089393,44.72163387,0,model
352,0,2/1/2023 0:00,5,559.417427,12.89986445,53.86206439,58.15139004,45.25152559,0,model
352,0,3/1/2023 0:00,4,656.039118,11.56510606,52.38297016,56.77844904,45.21334298,0,model
352,0,9/1/2023 0:00,20,423.249514,26.36582524,60.67889191,63.44679417,37.08096893,0,val
352,0,1/1/2024 0:00,6,424.667032,12.46896939,52.85373557,55.72323234,43.25426295,0,val
352,0,2/1/2024 0:00,3,493.673696,11.80382993,52.78266541,55.67481633,43.87098639,0,val
353,0,12/1/2022 0:00,2,71.349113,11.43311266,51.28551238,54.95956835,43.5264557,0,model
353,0,2/1/2023 0:00,4,579.186031,11.87839683,58.14525714,62.84179683,50.9634,2,model
353,0,3/1/2023 0:00,2,643.63462,11.68646605,58.30112561,63.29957656,51.61311052,2,model
353,0,1/1/2024 0:00,6,434.142304,12.00760922,58.85675023,61.52376959,49.51616037,0,val
353,0,2/1/2024 0:00,2,456.709581,11.60409361,58.4601105,61.1847522,49.58065859,0,val
354,0,12/1/2022 0:00,3,54.275699,12.1963785,57.59635313,59.76310309,47.56672459,0,model
354,0,3/1/2023 0:00,2,634.072009,12.0829366,59.62423485,63.50633134,51.42339474,2,model
354,0,1/1/2024 0:00,5,434.265254,12.21890085,61.01649482,64.54960085,52.3307,2,val
354,0,2/1/2024 0:00,3,474.541053,11.86262377,60.55520153,63.91509314,52.05246936,2,val
355,0,1/1/2023 0:00,6,362.993922,12.02821271,52.7394069,54.71536188,42.68714917,2,model
355,0,11/1/2023 0:00,4,559.997012,11.50368239,53.87188539,55.98253774,44.47885535,0,val
355,0,1/1/2024 0:00,5,451.925615,12.15566913,55.85992775,58.09863629,45.94296716,0,val
355,0,2/1/2024 0:00,3,515.234432,11.90398681,55.51828994,57.75159894,45.84761214,0,val
356,0,12/1/2022 0:00,3,61.533746,10.47450464,48.9808655,51.8257709,41.35126625,0,model
356,0,1/1/2023 0:00,2,233.085655,10.62012295,49.56160178,52.47014139,41.85001844,0,model
356,0,3/1/2023 0:00,2,610.000758,10.6003532,48.90738666,52.00871289,41.4083597,0,model
356,0,9/1/2023 0:00,21,421.269288,24.82589888,60.96216334,64.02908614,39.20318727,0,val
356,0,11/1/2023 0:00,4,555.558685,10.80750548,50.23665258,53.52094523,42.71343975,0,val
356,0,1/1/2024 0:00,5,459.683564,10.8748698,51.80648998,55.09611419,44.2212444,0,val
356,0,2/1/2024 0:00,3,514.005907,11.02479395,51.36170701,54.50428386,43.47948991,0,val
357,0,1/1/2023 0:00,7,509.733526,11.22548911,53.01740026,56.86244267,45.63695356,0,model
357,0,2/1/2023 0:00,6,596.683261,11.71698999,55.61561628,59.09730329,47.3803133,0,model
357,0,1/1/2024 0:00,6,473.054133,11.15578839,51.81834941,55.31743406,44.16164567,0,val
357,0,2/1/2024 0:00,3,528.709249,10.78537802,51.94603053,55.55665013,44.77127212,0,val
358,0,12/1/2022 0:00,3,54.882394,11.40103169,47.65169621,51.1398257,39.73879401,0,model
358,0,1/1/2023 0:00,2,296.348639,11.82585745,47.75805271,50.96794015,39.1420827,0,model
358,0,2/1/2023 0:00,5,594.783636,12.96741688,50.09751818,53.34220649,40.37478961,0,model
358,0,3/1/2023 0:00,3,703.848324,11.60189771,47.37821811,50.44710053,38.84520282,0,model
358,0,1/1/2024 0:00,6,491.171575,12.02118379,49.64888724,52.69313927,40.67195548,0,val
358,0,2/1/2024 0:00,3,572.972727,11.17130046,49.10078908,52.13585054,40.96455008,0,val
359,0,1/1/2023 0:00,6,383.623325,12.43728288,51.66090171,53.53917494,41.10189206,0,model
